"id","studyID","pubMedID","author","studyScore","ethnicity","cohort","title","lastUpdated"
"1","GCST000001","15761122","Klein RJ 2005","65.784","European",146,"Complement factor H polymorphism in age-related macular degeneration.","2020-05-07"
"2","GCST000006","17053108","Dewan A 2006","25","South East Asian",226,"HTRA1 promoter polymorphism in wet age-related macular degeneration.","2020-05-07"
"3","GCST000010","17158188","Bierut LJ 2006","15","European",1929,"Novel genes identified in a high-density genome wide association study for nicotine dependence.","2020-05-07"
"4","GCST000012","17293876","Sladek R 2007","39.528","European",6786,"A genome-wide association study identifies novel risk loci for type 2 diabetes.","2020-05-07"
"5","GCST000017","17401363","Yeager M 2007","22.658","European",8595,"Genome-wide association study of prostate cancer identifies a second risk locus at 8q24.","2020-05-07"
"6","GCST000019","17401366","Gudmundsson J 2007","11.328","European|African American or Afro-Caribbean",8917,"Genome-wide association study identifies a second prostate cancer susceptibility variant at 8q24.","2020-05-08"
"7","GCST000020","17395743","Hanson RL 2007","3","Native American",207,"Identification of PVT1 as a candidate gene for end-stage renal disease in type 2 diabetes using a pooling-based genome-wide single nucleotide polymorphism association study.","2020-05-07"
"8","GCST000023","17435756","Rioux JD 2007","24.58","",3013,"Genome-wide association study identifies new susceptibility loci for Crohn disease and implicates autophagy in disease pathogenesis.","2020-05-07"
"9","GCST000024","17463248","Scott LJ 2007","67.866","European",4808,"A genome-wide association study of type 2 diabetes in Finns detects multiple susceptibility variants.","2020-05-09"
"10","GCST000025","17463249","Zeggini E 2007","46.608","European",13965,"Replication of genome-wide association signals in UK samples reveals risk loci for type 2 diabetes.","2020-05-09"
"11","GCST000027","17460697","Steinthorsdottir V 2007","28.908","European",16135,"A variant in CDKAL1 influences insulin response and risk of type 2 diabetes.","2020-05-07"
"12","GCST000028","17463246","Saxena R 2007","56.432","European",31910,"Genome-wide association analysis identifies loci for type 2 diabetes and triglyceride levels.","2020-05-08"
"13","GCST000030","17478679","Helgadottir A 2007","86.194","European",17624,"A common variant on chromosome 9p21 affects the risk of myocardial infarction.","2020-05-07"
"14","GCST000033","17486107","Baum AE 2007","21.226","European",2672,"A genome-wide association study implicates diacylglycerol kinase eta (DGKH) and several other genes in the etiology of bipolar disorder.","2020-05-07"
"15","GCST000035","17529967","Easton DF 2007",NA,"European|East Asian",57247,"Genome-wide association study identifies novel breast cancer susceptibility loci.","2020-05-08"
"16","GCST000036","17529973","Hunter DJ 2007","31.422","European|Other",5535,"A genome-wide association study identifies alleles in FGFR2 associated with risk of sporadic postmenopausal breast cancer.","2020-05-07"
"17","GCST000037","17529974","Stacey SN 2007","32.744","European|East Asian|African American or Afro-Caribbean|Hispanic or Latin American|Other",25343,"Common variants on chromosomes 2q35 and 16q12 confer susceptibility to estrogen receptor-positive breast cancer.","2020-05-07"
"18","GCST000038","17554260","Todd JA 2007","36.418","European",16997,"Robust associations of four new chromosome regions from genome-wide analyses of type 1 diabetes.","2020-05-07"
"19","GCST000040","17554300","Wellcome Trust Case Control Consortium 2007","132.25","European",4798,"Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls.","2020-05-09"
"20","GCST000041","17554300","Wellcome Trust Case Control Consortium 2007","132.25","European",4890,"Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls.","2020-05-07"
"21","GCST000042","17554300","Wellcome Trust Case Control Consortium 2007","132.25","European",6693,"Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls.","2020-05-07"
"22","GCST000043","17554300","Wellcome Trust Case Control Consortium 2007","132.25","European",6908,"Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls.","2020-05-09"
"23","GCST000044","17554300","Wellcome Trust Case Control Consortium 2007","132.25","European",4806,"Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls.","2020-05-08"
