studyID	pubMedID	trait	reportedTrait	citation	altmetricScore	ethnicity	initialSampleSize	replicationSampleSize	title	lastUpdated
GCST001312	22055160	Abdominal Aortic Aneurysm	Abdominal Aortic Aneurysm	Bown et al. 2011	5.25	European	7301	48109	Abdominal aortic aneurysm is associated with a variant in low-density lipoprotein receptor-related protein 1.	2021-06-24
GCST000727	20622881	Abdominal Aortic Aneurysm	Abdominal Aortic Aneurysm	Gretarsdottir et al. 2010	6	European	31795	10718	Genome-wide association study identifies a sequence variant within the DAB2IP gene conferring susceptibility to abdominal aortic aneurysm.	2021-06-24
GCST003877	27899403	Abdominal Aortic Aneurysm	Abdominal Aortic Aneurysm	Jones et al. 2016	74.75	European	104830	13140	Meta-Analysis of Genome-Wide Association Studies for Abdominal Aortic Aneurysm Identifies Four New Disease-Specific Risk Loci.	2021-06-24
GCST011495	32981348	Abdominal Aortic Aneurysm	Abdominal Aortic Aneurysm	Klarin et al. 2020	154.65	European	179814	110304	Genetic Architecture of Abdominal Aortic Aneurysm in the Million Veteran Program.	2021-06-24
GCST011496	32981348	Abdominal Aortic Aneurysm	Abdominal Aortic Aneurysm	Klarin et al. 2020	154.65	European	179814	104830	Genetic Architecture of Abdominal Aortic Aneurysm in the Million Veteran Program.	2021-06-25
GCST003683	27418160	Abdominal Aortic Aneurysm	Intracranial, Abdominal Aortic Or Thoracic Aortic Aneurysm (Pleiotropy)	van et al. 2016	7.6	European	12601	NA	Shared Genetic Risk Factors of Intracranial, Abdominal, and Thoracic Aneurysms.	2021-06-24
GCST012186	33560138	Abdominal Symptom	Gastrointestinal Event In Colchicine-Treated Recent Myocardial Infarction (Time To Event)	Dubé et al. 2021	7.9	European	767	NA	Pharmacogenomics of the Efficacy and Safety of Colchicine in COLCOT.	2021-08-13
GCST003390	26908601	Abnormal Thrombosis	Thrombosis	Hinds et al. 2016	20	European	258962	NA	Genome-wide association analysis of self-reported events in 6135 individuals and 252 827 controls identifies 8 loci associated with thrombosis.	2021-06-24
GCST005844	29884306	Abruptio Placentae	Placental Abruption	Workalemahu et al. 2018	0.5		2512	NA	Genetic variations and risk of placental abruption: A genome-wide association study and meta-analysis of genome-wide association studies.	2021-06-24
GCST008738	30098192	Accommodative Esotropia	Accommodative Esotropia	Shaaban et al. 2018	39.202	European	973	330	Genome-Wide Association Study Identifies a Susceptibility Locus for Comitant Esotropia and Suggests a Parent-of-Origin Effect.	2021-06-24
GCST002329	24399259	Acne	Acne (Severe)	He et al. 2014	1.5	East Asian	2062	5520	Two new susceptibility loci 1q24.2 and 11p11.2 confer risk to severe acne.	2021-06-24
GCST002481	24927181	Acne	Acne (Severe)	Navarini et al. 2014	35	European	7025	4033	Genome-wide association study identifies three novel susceptibility loci for severe Acne vulgaris.	2021-06-24
GCST007234	30542056	Acne	Acne (Severe)	Petridis et al. 2018	736.614	European	26722	NA	Genome-wide meta-analysis implicates mediators of hair follicle development and morphogenesis in risk for severe acne.	2021-06-24
GCST007727	28817678	Acute Lymphoblastic Leukemia	Acute Lymphoblastic Leukemia (Childhood)	Archer et al. 2017	NA	Hispanic or Latin American|Native American	622	NA	Family-based exome-wide association study of childhood acute lymphoblastic leukemia among Hispanics confirms role of ARID5B in susceptibility.	2021-06-24
GCST001320	22076464	Acute Lymphoblastic Leukemia	Acute Lymphoblastic Leukemia (Childhood)	Ellinghaus et al. 2011	NA	European	900	4352	Identification of germline susceptibility loci in ETV6-RUNX1-rearranged childhood acute lymphoblastic leukemia.	2021-06-28
GCST002657	25310577	Acute Lymphoblastic Leukemia	Acute Lymphoblastic Leukemia (Childhood)	Evans et al. 2014	3	European	1550	1983	Confirmation of childhood acute lymphoblastic leukemia variants, ARID5B and IKZF1, and interaction with parental environmental exposures.	2021-06-24
GCST000463	19684604	Acute Lymphoblastic Leukemia	Acute Lymphoblastic Leukemia (Childhood)	Papaemmanuil et al. 2009	22	European	3305	NA	Loci on 7p12.2, 10q21.2 and 14q11.2 are associated with risk of childhood acute lymphoblastic leukemia.	2021-06-24
GCST002713	25468567	Acute Lymphoblastic Leukemia	Acute Lymphoblastic Leukemia (Adolescents And Young Adults)	Perez-Andreu et al. 2014	NA	European|African American or Afro-Caribbean|Hispanic or Latin American|Other	6969	5917	A genome-wide association study of susceptibility to acute lymphoblastic leukemia in adolescents and young adults.	2021-06-24
GCST000464	19684603	Acute Lymphoblastic Leukemia	Acute Lymphoblastic Leukemia (Childhood)	Treviño et al. 2009	15	European	18275	NA	Germline genomic variants associated with childhood acute lymphoblastic leukemia.	2021-06-24
GCST005315	29348612	Acute Lymphoblastic Leukemia	Acute Lymphoblastic Leukemia (Childhood)	Wiemels et al. 2018	2.25	European|Hispanic or Latin American|African American or Afro-Caribbean	19240	4624	GWAS in childhood acute lymphoblastic leukemia reveals novel genetic associations at chromosomes 17q12 and 8q24.21.	2021-06-24
GCST001912	23512250	Acute Lymphoblastic Leukemia	Acute Lymphoblastic Leukemia (Childhood)	Xu et al. 2013	24.75	African American or Afro-Caribbean|European|Hispanic or Latin American	5123	5161	Novel susceptibility variants at 10p12.31-12.2 for childhood acute lymphoblastic leukemia in ethnically diverse populations.	2021-06-24
GCST000323	19176441	Acute Lymphoblastic Leukemia	Response To Treatment For Acute Lymphoblastic Leukemia	Yang et al. 2009	15	European|Other|African unspecified	487	NA	Genome-wide interrogation of germline genetic variation associated with treatment response in childhood acute lymphoblastic leukemia.	2021-06-24
GCST001693	23007406	Acute Lymphoblastic Leukemia	Acute Lymphoblastic Leukemia (Childhood)	Yang et al. 2012	4.5	African American or Afro-Caribbean|South Asian|European|East Asian|Other|Hispanic or Latin American	1268	1267	Genome-wide association study identifies germline polymorphisms associated with relapse of childhood acute lymphoblastic leukemia.	2021-06-24
GCST010680	31982041	Acute Respiratory Distress Syndrome	Acute Respiratory Distress Syndrome In Sepsis	Guillen-Guio et al. 2020	23.95	European	590	1345	Sepsis-associated acute respiratory distress syndrome in individuals of European ancestry: a genome-wide association study.	2021-06-25
GCST004165	28130311	Acute-On-Chronic Liver Failure	Acute-On-Chronic Liver Failure In Hepatitis B	Tan et al. 2017	0.75	East Asian	780	2587	Genome-wide association study identiﬁes HLA-DR variants conferring risk of HBV-related acute-on-chronic liver failure.	2021-06-24
GCST90011871	33574239	Addison Disease	Addison's Disease	Eriksson et al. 2021	111.18	European	5320	NA	GWAS for autoimmune Addison's disease identifies multiple risk loci and highlights AIRE in disease susceptibility.	2021-06-28
GCST008788	31417091	Adolescent Idiopathic Scoliosis	Adolescent Idiopathic Scoliosis	Kou et al. 2019	11.008	East Asian	38683	NA	Genome-wide association study identifies 14 previously unreported susceptibility loci for adolescent idiopathic scoliosis in Japanese.	2021-06-24
GCST008789	31417091	Adolescent Idiopathic Scoliosis	Adolescent Idiopathic Scoliosis	Kou et al. 2019	11.008	East Asian	79211	NA	Genome-wide association study identifies 14 previously unreported susceptibility loci for adolescent idiopathic scoliosis in Japanese.	2021-06-24
