"studyID","pubMedID","trait","citation","studyScore","ethnicity","cohort","title","lastUpdated"
"GCST000727","20622881","abdominal aortic aneurysm","Gretarsdottir S 2010","6","European",42513,"Genome-wide association study identifies a sequence variant within the DAB2IP gene conferring susceptibility to abdominal aortic aneurysm.","2020-05-07"
"GCST001312","22055160","abdominal aortic aneurysm","Bown MJ 2011","5.25","European",55410,"Abdominal aortic aneurysm is associated with a variant in low-density lipoprotein receptor-related protein 1.","2020-05-08"
"GCST003683","27418160","abdominal aortic aneurysm","van 't Hof FN 2016","6.45","European",12601,"Shared Genetic Risk Factors of Intracranial, Abdominal, and Thoracic Aneurysms.","2020-05-08"
"GCST003877","27899403","abdominal aortic aneurysm","Jones GT 2016","61.85","European",117970,"Meta-Analysis of Genome-Wide Association Studies for Abdominal Aortic Aneurysm Identifies Four New Disease-Specific Risk Loci.","2020-05-08"
"GCST003390","26908601","abnormal thrombosis","Hinds DA 2016","20","European",258962,"Genome-wide association analysis of self-reported events in 6135 individuals and 252 827 controls identifies 8 loci associated with thrombosis.","2020-05-08"
"GCST005844","29884306","Abruptio Placentae","Workalemahu T 2018","0.5","",2512,"Genetic variations and risk of placental abruption: A genome-wide association study and meta-analysis of genome-wide association studies.","2020-05-09"
"GCST008738","30098192","accommodative esotropia","Shaaban S 2018","39.202","European",1303,"Genome-Wide Association Study Identifies a Susceptibility Locus for Comitant Esotropia and Suggests a Parent-of-Origin Effect.","2020-05-08"
"GCST002329","24399259","acne","He L 2014","1.5","East Asian",7582,"Two new susceptibility loci 1q24.2 and 11p11.2 confer risk to severe acne.","2020-05-08"
"GCST002481","24927181","acne","Navarini AA 2014","35","European",11058,"Genome-wide association study identifies three novel susceptibility loci for severe Acne vulgaris.","2020-05-08"
"GCST007234","30542056","acne","Petridis C 2018","738.964","European",26722,"Genome-wide meta-analysis implicates mediators of hair follicle development and morphogenesis in risk for severe acne.","2020-05-10"
"GCST004165","28130311","acute-on-chronic liver failure","Tan W 2017","0.75","East Asian",3367,"Genome-wide association study identi<U+FB01>es HLA-DR variants conferring risk of HBV-related acute-on-chronic liver failure.","2020-05-08"
"GCST002747","25583994","acute coronary syndrome","Tardif JC 2015","94.68","European",2845,"Pharmacogenomic determinants of the cardiovascular effects of dalcetrapib.","2020-05-08"
"GCST004957","28753643","acute coronary syndrome","Yeo A 2017","0.5","European|Asian unspecified|African American or Afro-Caribbean|Greater Middle Eastern (Middle Eastern North African or Persian)|Oceanian|Native American|Other admixed ancestry",1318,"Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.","2020-05-08"
"GCST004961","28753643","acute coronary syndrome","Yeo A 2017","0.5","Asian unspecified|European|African American or Afro-Caribbean|Greater Middle Eastern (Middle Eastern North African or Persian)|Oceanian|Native American|Other admixed ancestry",1440,"Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.","2020-05-08"
"GCST004962","28753643","acute coronary syndrome","Yeo A 2017","0.5","European",481,"Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.","2020-05-08"
"GCST004964","28753643","acute coronary syndrome","Yeo A 2017","0.5","European|Asian unspecified|African American or Afro-Caribbean|Greater Middle Eastern (Middle Eastern North African or Persian)|Oceanian|Native American|Other admixed ancestry",740,"Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.","2020-05-08"
"GCST004967","28753643","acute coronary syndrome","Yeo A 2017","0.5","European",212,"Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.","2020-05-09"
"GCST000323","19176441","acute lymphoblastic leukemia","Yang JJ 2009","15","European|Other|African unspecified",487,"Genome-wide interrogation of germline genetic variation associated with treatment response in childhood acute lymphoblastic leukemia.","2020-05-09"
